pl-node-1.csl.sri.com, 51.1
planetlab2.csee.usf.edu, 109
planetlab01.tkn.tu-berlin.de, 115
icnalplabs2.epfl.ch, 117
planetlab-coffee.ait.ie, 113
ple2.tu.koszalin.pl, 130
planetlab1.cs.uml.edu, 38.0
aguila2.lsi.upc.edu, 126
planetlab2.acis.ufl.edu, 49.1
aguila1.lsi.upc.edu, 128
planetlab1.csuohio.edu, 43.3
plab1.cs.msu.ru, 164
pl2.cs.unm.edu, 30.5
kc-sce-plab2.umkc.edu, 28.8
plonk.cs.uwaterloo.ca, 24.8
planet-lab1.cs.ucr.edu,
planetlab2.cs.purdue.edu, 28.5
planetlab2.koganei.itrc.net, 127
planet1.pnl.nitech.ac.jp, 135
planetlab1.koganei.itrc.net, 135
planetlab1.cnds.jhu.edu, 28.2
planetlab2.informatik.uni-erlangen.de, 111
planet3.cc.gt.atl.ga.us, 29.2
planetlab-n1.wand.net.nz, 201
planetlab2.comp.nus.edu.sg, 198
planetlab2.informatik.uni-kl.de, 112
planetlab-1.scie.uestc.edu.cn,
planetlab3.cesnet.cz, 116
planetlab1.unr.edu, 64.0
planetlab1.acis.ufl.edu, 49.1
planetlab1.netlab.uky.edu, 57.7
cs-planetlab3.cs.surrey.sfu.ca, 58.2
planetlab-n2.wand.net.nz, 199
planetlab2.cqupt.edu.cn, 245
planetlab1.postel.org, 37.0
pl3.cs.unm.edu, 31.8
planetlab1.net.in.tum.de, 115
planetlab3.net.in.tum.de, 115
planetvs2.informatik.uni-stuttgart.de, 111
pl2.pku.edu.cn, 211
planetlab-um00.di.uminho.pt, 134
planetlab2.tau.ac.il, 181
plab4.ple.silweb.pl, 129
75-130-96-12.static.oxfr.ma.charter.com, 35.0
node2.planetlab.mathcs.emory.edu, 29.3
planetlab1.informatik.uni-goettingen.de, 118
planetlab-js2.cert.org.cn, 219
pl4.cs.unm.edu, 31.4
planetlab-1.sjtu.edu.cn, 246
planetlab-2.scie.uestc.edu.cn,
planetlab4.hiit.fi, 140
planetlab1.bgu.ac.il, 183
planetlab2.ucsd.edu, 51.1
planetlab3.comp.nus.edu.sg, 194
ple2.dmcs.p.lodz.pl, 130
node1.planetlab.uni-luebeck.de, 121
node2.planetlab.uni-luebeck.de, 122
iraplab1.iralab.uni-karlsruhe.de, 109
planet-lab-node2.netgroup.uniroma2.it, 128
planetlab-1.research.netlab.hut.fi, 139
planetlab2.s3.kth.se, 132
planetlab2.diku.dk, 145
ricepl-5.cs.rice.edu, 29.4
planetlab1.fct.ualg.pt, 135
planetlab2.cs.uit.no, 156
iraplab2.iralab.uni-karlsruhe.de, 109
planetlab2.cs.unc.edu, 39.9
prata.mimuw.edu.pl, 120
planetlab1.di.unito.it, 117
planetlabeu-1.tssg.org, 113
gschembra3.diit.unict.it, 137
planetlab1.tsuniv.edu, 47.3
planetlab3.cs.uoregon.edu, 45.1
cs-planetlab4.cs.surrey.sfu.ca, 57.4
planetlab2.cs.uoregon.edu, 45.3
planetlab1.cti.espol.edu.ec, 101
planet-lab-node1.netgroup.uniroma2.it, 126
planetlab4.mini.pw.edu.pl, 126
mars.planetlab.haw-hamburg.de, 121
planetlab4.goto.info.waseda.ac.jp, 124
planetlab1.ucsd.edu, 50.1
planetlab1.pop-mg.rnp.br, 155
ebb.colgate.edu, 37.2
planetlab-js1.cert.org.cn, 205
pl2.zju.edu.cn, 250
planetlab2.cti.espol.edu.ec, 100
planetlab1.cs.ucla.edu, 36.7
planetlab1.cs.uoregon.edu, 45.4
planetlab-2.research.netlab.hut.fi, 139
pl1.rcc.uottawa.ca, 43.4
node1.planetlab.mathcs.emory.edu, 29.3
planetlab2.cs.aueb.gr, 149
pluto.cs.brown.edu, 36.2
ple2.ait.ac.th, 224
pl1.eecs.utk.edu, 66.0
planetlab2.temple.edu, 41.8
planetlab2.cnis.nyit.edu, 36.0
pl1.pku.edu.cn, 211
planetlab2.unr.edu, 64.1
planetlab1.virtues.fi, 145
planetlab1.temple.edu, 38.1
planetlab-tea.ait.ie, 111
planetlab2.xeno.cl.cam.ac.uk, 107
planetlab2.cs.ucla.edu, 36.8
planetlab1.rutgers.edu, 34.5
plab2.ple.silweb.pl, 129
planetlab3.xeno.cl.cam.ac.uk, 107
planetlab1.ie.cuhk.edu.hk, 172
planetlab4.cs.uoregon.edu, 46.0
planetlab-02.vt.nodes.planet-lab.org, 33.7
plab3.eece.ksu.edu, 46.1
planet-lab3.uba.ar, 186
planetlab1.comp.nus.edu.sg, 213
planetlab1.cs.ubc.ca, 59.1
planetlab-um10.di.uminho.pt, 132
planetlab2.tsuniv.edu, 47.4
netapp7.cs.kookmin.ac.kr,
planetlab2.pop-mg.rnp.br, 184
planetlab2.rutgers.edu, 34.2
merkur.planetlab.haw-hamburg.de, 121
sybaris.ipv6.lip6.fr, 101
plewifi.ipv6.lip6.fr, 100
pl1.cs.montana.edu, 80.7
planetlab5.csee.usf.edu, 45.8
planetlabone.ccs.neu.edu, 34.0
planetlab-04.vt.nodes.planet-lab.org, 34.1
planetlab3.rutgers.edu, 30.0
plink.cs.uwaterloo.ca, 25.0
pl-node-0.csl.sri.com, 50.7
planet2.cc.gt.atl.ga.us, 28.9
planet2.pnl.nitech.ac.jp, 144
planetlab2.unl.edu, 31.7
planetlab2.cesnet.cz, 115
planetlab3.ucsd.edu, 52.2
planetlab-1.ida.liu.se, 136
plab3.cs.msu.ru, 149
node1.planetlab.albany.edu, 34.7
planetlab0.otemachi.wide.ad.jp, 128
planetlab1.cesnet.cz, 114
planetlab3.arizona-gigapop.net, 54.8
planetlab2.arizona-gigapop.net, 55.1
planetlab1.cs.okstate.edu, 29.0
planetlab1.c3sl.ufpr.br, 185
planet4.cc.gt.atl.ga.us, 28.8
ple6.ipv6.lip6.fr, 101
planetlab-2.ida.liu.se, 135
planetlabtwo.ccs.neu.edu, 34.1
planetlab-01.bu.edu, 37.7
pl1.eng.monash.edu.au, 185
planetlab1.unl.edu, 31.2
planetlab02.cs.washington.edu, 38.9
planetlab1.cs.otago.ac.nz,
planetlab-5.eecs.cwru.edu, 23.2
planet-lab2.cs.ucr.edu,
planetlab3.cnds.jhu.edu, 29.1
planetlab1.cs.unc.edu, 39.6
saturn.planetlab.carleton.ca, 30.3
netapp6.cs.kookmin.ac.kr,
planetlab1.arizona-gigapop.net, 55.3
planetlab1.cs.purdue.edu, 27.8
planetlab1.otemachi.wide.ad.jp, 123
planetlab1.mta.ac.il, 185
planetlab-2.tagus.ist.utl.pt, 130
ple1.ait.ac.th, 227
planetlab3.bupt.edu.cn, 212
planetlab2.ics.forth.gr,
planetlab1.ecs.vuw.ac.nz, 205
pl1.sos.info.hiroshima-cu.ac.jp, 143
planetlab1.extern.kuleuven.be, 114
planetlab2.ecs.vuw.ac.nz, 205
planetlab2.extern.kuleuven.be, 112
planetlab3.mini.pw.edu.pl, 126
planetlab2.sfc.wide.ad.jp, 135
planetlab1.clemson.edu, 40.6
planetlab-1.ssvl.kth.se, 133
pl2.eng.monash.edu.au, 185
planetlab1.cqupt.edu.cn, 245
pl2.cs.montana.edu, 80.7
pl2.sos.info.hiroshima-cu.ac.jp, 142
planetlab1.cnis.nyit.edu, 35.4
planetlab1.sfc.wide.ad.jp, 135
planetlab2.cs.otago.ac.nz,
planetlab1.utt.fr, 110
utet.ii.uam.es, 115
planetlab2.cs.uml.edu, 38.5
planetlab2.cs.ubc.ca, 58.5
planetlab3.wail.wisc.edu, 22.3
planetlab-2.cse.ohio-state.edu, 29.4
planetlab2.jcp-consult.net, 133
pl2.6test.edu.cn, 211
planetlab2.utdallas.edu, 51.9
planetlab-2.sjtu.edu.cn, 246
planetlab1.ustc.edu.cn, 217
planetlab-01.vt.nodes.planet-lab.org, 33.9
planetlab1.mini.pw.edu.pl, 125
planetlab1.cs.du.edu, 11.4
planetlab1.fit.vutbr.cz, 119
pl1.6test.edu.cn, 211
